Kabupaten/Kota,Garis Kemiskinan - Maret (Rp),Garis Kemiskinan - September (Rp),Jumlah Penduduk Miskin - Maret (ribu),Jumlah Penduduk Miskin - September (ribu),Persentase Penduduk Miskin - Maret,Persentase Penduduk Miskin - September
Kepulauan Seribu,743820,...,3.47,...,13.13,...
Kota Jakarta Selatan,891580,...,71.9,...,3.1,...
Kota Jakarta Timur,669713,...,124.22,...,4.2,...
Kota Jakarta Pusat,784679,...,42.78,...,4.68,...
Kota Jakarta Barat,657247,...,109.49,...,4.09,...
Kota Jakarta Utara,684557,...,125.98,...,6.78,...
DKI Jakarta,792515,...,477.83,...,4.44,...
,,,,,,
Catatan,,,,,,
September 2023 tidak dilakukan penghitungan kemiskinan,,,,,,